127.0.0.1 - - [11/Mar/2025:14:11:41 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:11:43 +0900] "GET /myweb/phonebook/phonebookForm.jsp HTTP/1.1" 200 3530
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:11:43 +0900] "GET /myweb/css/mainLayout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:12:52 +0900] "GET /myweb/index.jsp HTTP/1.1" 200 1503
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:12:52 +0900] "GET /myweb/img/main.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:12:54 +0900] "GET /myweb/phonebook/phonebookForm.jsp HTTP/1.1" 200 3530
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:13:11 +0900] "GET /myweb/phonebook/phonebookList1.jsp HTTP/1.1" 500 4571
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:14:42 +0900] "GET /myweb/phonebook/phonebookForm.jsp HTTP/1.1" 200 3548
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:14:50 +0900] "GET /myweb/phonebook/phoneAdd1_ok.jsp?name=%EA%B9%80%EC%B1%84%ED%98%84&tel=010-1111-2222&addr=%EC%9D%B8%EC%B2%9C HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:14:51 +0900] "GET /myweb/phonebook/phonebookForm.jsp HTTP/1.1" 200 3548
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:15:03 +0900] "GET /myweb/phonebook/phoneAdd2_ok.jsp?name=%EB%B0%95%EC%B1%84%ED%98%84&tel=010-1111-2222&addr=%EC%84%9C%EC%9A%B8 HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:15:03 +0900] "GET /myweb/phonebook/phonebookForm.jsp HTTP/1.1" 200 3548
0:0:0:0:0:0:0:1 - - [11/Mar/2025:14:15:24 +0900] "GET /myweb/phonebook/phonebookList1.jsp HTTP/1.1" 200 1544
